                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70091,                 3.1413,                 1.1014,                0.01667,                0.90361,                0.27338,                0.19058,                0.55348,                  2.819,                0.96329,                  6e-05,                  6e-05,                  6e-05
                      2,                0.61642,                 2.8383,                 1.0127,                0.01733,                0.93976,                0.47262,                0.39547,                0.60257,                 2.7284,                0.92444,             0.00013861,             0.00013861,             0.00013861
                      3,                0.64935,                 2.3119,                 1.0013,                  0.018,                 0.9759,                0.51891,                0.44715,                0.63357,                 2.5401,                0.92738,             0.00021564,             0.00021564,             0.00021564
                      4,                0.60428,                 1.6233,                0.91861,                0.86448,                0.48193,                0.65544,                 0.5428,                0.72768,                 2.0709,                0.94225,             0.00029109,             0.00029109,             0.00029109
                      5,                0.63544,                 1.3369,                 0.9804,                0.89324,                0.53012,                0.70667,                0.57288,                0.77786,                 2.1008,                0.97187,             0.00036495,             0.00036495,             0.00036495
                      6,                0.61519,                 1.2834,                 0.9416,                0.91916,                  0.548,                0.72563,                0.59627,                0.76493,                 2.1328,                 1.0043,             0.00043723,             0.00043723,             0.00043723
                      7,                0.63282,                  1.115,                 0.9371,                0.93351,                0.48193,                0.71917,                0.60731,                0.74401,                 2.1544,                0.98177,             0.00050792,             0.00050792,             0.00050792
                      8,                0.58927,                 1.0116,                0.91338,                0.95084,                0.46611,                0.70891,                0.61616,                0.73109,                 2.0598,                0.97418,             0.00057703,             0.00057703,             0.00057703
                      9,                0.61316,                  1.001,                 0.9548,                0.75044,                0.42169,                0.62669,                0.52683,                0.77503,                 1.9947,                 1.0272,             0.00064456,             0.00064456,             0.00064456
                     10,                0.54131,                0.94526,                0.90718,                0.91304,                 0.3494,                0.57536,                0.48697,                0.88669,                 2.2339,                 1.1475,              0.0007105,              0.0007105,              0.0007105
                     11,                0.64628,                  1.006,                0.94876,                0.83752,                 0.3494,                0.50109,                0.41704,                0.93771,                 2.3484,                 1.2379,             0.00077486,             0.00077486,             0.00077486
                     12,                0.61961,                0.95359,                0.92784,                0.87784,                0.43293,                0.58889,                0.47912,                 0.9343,                 2.0612,                 1.2031,             0.00083763,             0.00083763,             0.00083763
                     13,                0.60253,                0.95797,                0.94424,                0.82994,                0.48193,                0.59715,                0.47591,                0.95085,                 1.9126,                 1.1723,             0.00089882,             0.00089882,             0.00089882
                     14,                0.54749,                0.89306,                0.90674,                 0.6949,                0.49395,                0.59401,                0.47413,                0.93488,                 1.8913,                 1.1812,             0.00095843,             0.00095843,             0.00095843
                     15,                 0.6036,                0.86474,                0.93116,                0.85915,                0.44578,                0.57321,                0.44353,                 0.9865,                 1.8832,                 1.2295,              0.0010165,              0.0010165,              0.0010165
                     16,                0.60198,                0.88199,                0.92064,                0.93129,                0.46988,                0.62187,                0.46563,                0.97388,                 1.8637,                 1.2227,              0.0010729,              0.0010729,              0.0010729
                     17,                 0.5998,                0.90197,                0.89484,                0.78144,                0.54217,                0.62411,                 0.4698,                0.97607,                 1.9167,                 1.2024,              0.0011277,              0.0011277,              0.0011277
                     18,                0.62177,                0.84949,                0.90683,                0.89923,                 0.5376,                0.64757,                0.52253,                0.90388,                 1.7468,                 1.1336,               0.001181,               0.001181,               0.001181
                     19,                0.60515,                0.89526,                0.93674,                0.85824,                0.58358,                0.64444,                0.54096,                0.89504,                 1.7838,                 1.1303,              0.0012327,              0.0012327,              0.0012327
                     20,                0.61738,                0.91997,                0.94354,                 0.8583,                0.51807,                0.61626,                0.51389,                0.89859,                 1.9325,                 1.1516,              0.0012828,              0.0012828,              0.0012828
