                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67088,                 1.3326,                 3.0867,                  1.055,                0.01489,                0.80723,                0.19198,                0.13724,                0.01578,                0.85542,                0.18552,                0.13059,                0.57875,                 1.3727,                 2.8631,                 1.0226,                  6e-05,                  6e-05,                  6e-05
                      2,                0.62244,                 1.2142,                 2.8504,                 1.0049,                0.01711,                0.92771,                0.63545,                0.51534,                0.01733,                0.93976,                0.63382,                0.47331,                0.59938,                 1.3178,                 2.6162,                0.90359,             0.00013861,             0.00013861,             0.00013861
                      3,                0.71357,                 1.0806,                 2.0892,                0.99896,                      1,                0.34829,                0.72476,                0.54672,                      1,                0.34829,                0.71289,                0.47606,                0.80196,                 2.4408,                 2.2682,                0.94953,             0.00021564,             0.00021564,             0.00021564
                      4,                0.66182,                0.89132,                 1.4723,                0.89834,                0.87702,                0.54217,                 0.6996,                 0.4804,                0.85754,                0.53012,                0.67212,                0.49063,                 1.0446,                 2.0917,                 2.2325,                 1.1771,             0.00029109,             0.00029109,             0.00029109
                      5,                0.71895,                  1.183,                 1.3093,                0.97488,                0.88733,                0.45783,                0.65773,                0.46263,                0.86398,                0.44578,                0.64933,                0.46866,                 1.1612,                  2.233,                 2.3146,                 1.2915,             0.00036495,             0.00036495,             0.00036495
                      6,                0.70335,                0.92898,                 1.3194,                0.95539,                0.92147,                0.42418,                0.64939,                0.45744,                0.89529,                0.41213,                0.59578,                 0.3601,                 1.0839,                 2.8273,                 2.3507,                 1.2175,             0.00043723,             0.00043723,             0.00043723
                      7,                0.68899,                0.91091,                  1.165,                0.93613,                0.88322,                0.54677,                0.66734,                0.46608,                  0.804,                0.49424,                0.59928,                 0.4165,                 1.1183,                 2.5395,                  2.184,                 1.2067,             0.00050792,             0.00050792,             0.00050792
                      8,                0.61385,                0.86812,                 1.0107,                0.91718,                0.89838,                0.56627,                0.65042,                0.49884,                0.84583,                0.52883,                0.59857,                0.41576,                 1.0803,                 2.9019,                 2.0087,                 1.2216,             0.00057703,             0.00057703,             0.00057703
                      9,                0.64264,                0.77523,                 1.0614,                0.94996,                0.95416,                 0.5016,                0.64695,                0.46474,                0.79371,                0.41726,                0.49072,                 0.2881,                 1.1478,                 3.8173,                 2.3017,                 1.3124,             0.00064456,             0.00064456,             0.00064456
                     10,                0.60814,                0.84873,                 1.1111,                0.92781,                      1,                 0.2648,                0.56348,                0.41713,                      1,                 0.2648,                0.51892,                0.32703,                 1.1055,                 3.8865,                 2.5349,                 1.2612,              0.0007105,              0.0007105,              0.0007105
